Año,Zona,Lugar,Numero,median_inc,Población,distance (km),distance,CT_(€),OC_(€),TC
2024,España,Castilla y León,401.0,45.72054794520548,2383139.0,375.4409239856657,375.4409239856657,48.80732011813654,15.240182648401827,64.04750276653837
2019,España,Cataluña,1114.0,51.583561643835615,7763362.0,882.9708420303375,882.9708420303375,114.78620946394388,17.194520547945203,131.98073001188908
2020,España,Cataluña,659.0,51.583561643835615,7763362.0,882.9708420303375,882.9708420303375,114.78620946394388,17.194520547945203,131.98073001188908
2021,España,Cataluña,992.0,51.583561643835615,7763362.0,882.9708420303375,882.9708420303375,114.78620946394388,17.194520547945203,131.98073001188908
2022,España,Cataluña,1113.0,51.583561643835615,7763362.0,882.9708420303375,882.9708420303375,114.78620946394388,17.194520547945203,131.98073001188908
2023,España,Cataluña,1104.0,51.583561643835615,7763362.0,882.9708420303375,882.9708420303375,114.78620946394388,17.194520547945203,131.98073001188908
2024,España,Cataluña,133.0,51.583561643835615,7763362.0,882.9708420303375,882.9708420303375,114.78620946394388,17.194520547945203,131.98073001188908
2019,España,Comunidade Valenciana,764.0,41.843835616438355,5058138.0,811.9837741100764,811.9837741100764,105.55789063430994,13.947945205479451,119.5058358397894
2020,España,Comunidade Valenciana,412.0,41.843835616438355,5058138.0,811.9837741100764,811.9837741100764,105.55789063430994,13.947945205479451,119.5058358397894
2021,España,Comunidade Valenciana,607.0,41.843835616438355,5058138.0,811.9837741100764,811.9837741100764,105.55789063430994,13.947945205479451,119.5058358397894
2022,España,Comunidade Valenciana,914.0,41.843835616438355,5058138.0,811.9837741100764,811.9837741100764,105.55789063430994,13.947945205479451,119.5058358397894
2023,España,Comunidade Valenciana,653.0,41.843835616438355,5058138.0,811.9837741100764,811.9837741100764,105.55789063430994,13.947945205479451,119.5058358397894
2019,España,Extremadura,310.0,33.13972602739726,1059501.0,474.775720526922,474.775720526922,61.72084366849986,11.046575342465752,72.76741901096561
2020,España,Extremadura,93.0,33.13972602739726,1059501.0,474.775720526922,474.775720526922,61.72084366849986,11.046575342465752,72.76741901096561
2021,España,Extremadura,219.0,33.13972602739726,1059501.0,474.775720526922,474.775720526922,61.72084366849986,11.046575342465752,72.76741901096561
2022,España,Extremadura,250.0,33.13972602739726,1059501.0,474.775720526922,474.775720526922,61.72084366849986,11.046575342465752,72.76741901096561
2023,España,Extremadura,232.0,33.13972602739726,1059501.0,474.775720526922,474.775720526922,61.72084366849986,11.046575342465752,72.76741901096561
2019,España,Galicia,23663.0,42.21643835616438,2695645.0,97.5856756785058,97.5856756785058,12.686137838205754,14.07214611872146,26.758283956927215
2020,España,Galicia,23280.0,42.21643835616438,2695645.0,97.5856756785058,97.5856756785058,12.686137838205754,14.07214611872146,26.758283956927215
2021,España,Galicia,24112.0,42.21643835616438,2695645.0,97.5856756785058,97.5856756785058,12.686137838205754,14.07214611872146,26.758283956927215
2022,España,Galicia,23994.0,42.21643835616438,2695645.0,97.5856756785058,97.5856756785058,12.686137838205754,14.07214611872146,26.758283956927215
2023,España,Galicia,22864.0,42.21643835616438,2695645.0,97.5856756785058,97.5856756785058,12.686137838205754,14.07214611872146,26.758283956927215
2024,España,Galicia,4057.0,42.21643835616438,2695645.0,97.5856756785058,97.5856756785058,12.686137838205754,14.07214611872146,26.758283956927215
2019,España,Madrid,8057.0,52.61917808219178,6751251.0,517.900736035955,517.900736035955,67.32709568467415,17.539726027397258,84.86682171207141
2020,España,Madrid,6329.0,52.61917808219178,6751251.0,517.900736035955,517.900736035955,67.32709568467415,17.539726027397258,84.86682171207141
2021,España,Madrid,7208.0,52.61917808219178,6751251.0,517.900736035955,517.900736035955,67.32709568467415,17.539726027397258,84.86682171207141
2022,España,Madrid,8167.0,52.61917808219178,6751251.0,517.900736035955,517.900736035955,67.32709568467415,17.539726027397258,84.86682171207141
2023,España,Madrid,7905.0,52.61917808219178,6751251.0,517.900736035955,517.900736035955,67.32709568467415,17.539726027397258,84.86682171207141
2024,España,Madrid,950.0,52.61917808219178,6751251.0,517.900736035955,517.900736035955,67.32709568467415,17.539726027397258,84.86682171207141
2019,España,Murcia,179.0,38.33972602739726,1518486.0,839.1480691900457,839.1480691900457,109.08924899470594,12.779908675799087,121.86915767050503
2020,España,Murcia,32.0,38.33972602739726,1518486.0,839.1480691900457,839.1480691900457,109.08924899470594,12.779908675799087,121.86915767050503
2021,España,Murcia,156.0,38.33972602739726,1518486.0,839.1480691900457,839.1480691900457,109.08924899470594,12.779908675799087,121.86915767050503
2022,España,Murcia,125.0,38.33972602739726,1518486.0,839.1480691900457,839.1480691900457,109.08924899470594,12.779908675799087,121.86915767050503
2023,España,Murcia,62.0,38.33972602739726,1518486.0,839.1480691900457,839.1480691900457,109.08924899470594,12.779908675799087,121.86915767050503
2019,España,Navarra,245.0,57.41095890410959,661537.0,610.3633852872277,610.3633852872277,79.34724008733961,19.136986301369863,98.48422638870947
2020,España,Navarra,158.0,57.41095890410959,661537.0,610.3633852872277,610.3633852872277,79.34724008733961,19.136986301369863,98.48422638870947
2021,España,Navarra,214.0,57.41095890410959,661537.0,610.3633852872277,610.3633852872277,79.34724008733961,19.136986301369863,98.48422638870947
2022,España,Navarra,207.0,57.41095890410959,661537.0,610.3633852872277,610.3633852872277,79.34724008733961,19.136986301369863,98.48422638870947
2023,España,Navarra,128.0,57.41095890410959,661537.0,610.3633852872277,610.3633852872277,79.34724008733961,19.136986301369863,98.48422638870947
2019,España,País Vasco,1385.0,57.846575342465755,2213993.0,529.6819991904077,529.6819991904077,68.858659894753,19.28219178082192,88.14085167557492
2020,España,País Vasco,960.0,57.846575342465755,2213993.0,529.6819991904077,529.6819991904077,68.858659894753,19.28219178082192,88.14085167557492
2021,España,País Vasco,1240.0,57.846575342465755,2213993.0,529.6819991904077,529.6819991904077,68.858659894753,19.28219178082192,88.14085167557492
2022,España,País Vasco,1231.0,57.846575342465755,2213993.0,529.6819991904077,529.6819991904077,68.858659894753,19.28219178082192,88.14085167557492
2023,España,País Vasco,1244.0,57.846575342465755,2213993.0,529.6819991904077,529.6819991904077,68.858659894753,19.28219178082192,88.14085167557492
2024,España,País Vasco,63.0,57.846575342465755,2213993.0,529.6819991904077,529.6819991904077,68.858659894753,19.28219178082192,88.14085167557492
2019,España,La Rioja,137.0,47.726027397260275,319796.0,544.1158031367377,544.1158031367377,70.7350544077759,15.908675799086758,86.64373020686267
2020,España,La Rioja,80.0,47.726027397260275,319796.0,544.1158031367377,544.1158031367377,70.7350544077759,15.908675799086758,86.64373020686267
2021,España,La Rioja,172.0,47.726027397260275,319796.0,544.1158031367377,544.1158031367377,70.7350544077759,15.908675799086758,86.64373020686267
2022,España,La Rioja,103.0,47.726027397260275,319796.0,544.1158031367377,544.1158031367377,70.7350544077759,15.908675799086758,86.64373020686267
2023,España,La Rioja,84.0,47.726027397260275,319796.0,544.1158031367377,544.1158031367377,70.7350544077759,15.908675799086758,86.64373020686267
2019,Europa,Alemania,388.0,48.970494331393596,83132799.0,2570.2340955136674,2570.2340955136674,308.42809146164007,32.64699622092906,341.0750876825691
2020,Europa,Alemania,100.0,48.970494331393596,83132799.0,2570.2340955136674,2570.2340955136674,308.42809146164007,32.64699622092906,341.0750876825691
2021,Europa,Alemania,178.0,48.970494331393596,83132799.0,2570.2340955136674,2570.2340955136674,308.42809146164007,32.64699622092906,341.0750876825691
2022,Europa,Alemania,422.0,48.970494331393596,83132799.0,2570.2340955136674,2570.2340955136674,308.42809146164007,32.64699622092906,341.0750876825691
2023,Europa,Alemania,357.0,48.970494331393596,83132799.0,2570.2340955136674,2570.2340955136674,308.42809146164007,32.64699622092906,341.0750876825691
2019,Europa,Austria,31.0,51.980096625341865,8877067.0,2695.5112245277865,2695.5112245277865,323.4613469433344,34.65339775022791,358.1147446935623
2021,Europa,Austria,41.0,51.980096625341865,8877067.0,2695.5112245277865,2695.5112245277865,323.4613469433344,34.65339775022791,358.1147446935623
2019,Europa,Bélgica,38.0,46.65004036095951,11484055.0,1991.2915438795364,1991.2915438795364,398.2583087759073,31.100026907306336,429.3583356832137
2020,Europa,Bélgica,33.0,46.65004036095951,11484055.0,1991.2915438795364,1991.2915438795364,398.2583087759073,31.100026907306336,429.3583356832137
2022,Europa,Bélgica,72.0,46.65004036095951,11484055.0,1991.2915438795364,1991.2915438795364,398.2583087759073,31.100026907306336,429.3583356832137
2023,Europa,Bélgica,65.0,46.65004036095951,11484055.0,1991.2915438795364,1991.2915438795364,398.2583087759073,31.100026907306336,429.3583356832137
2019,Mundo,Estados Unidos,175.0,58.61857086059204,328239523.0,12404.25877871238,12404.25877871238,1488.5110534454855,39.07904724039469,1527.59010068588
2021,Mundo,Estados Unidos,534.0,58.61857086059204,328239523.0,12404.25877871238,12404.25877871238,1488.5110534454855,39.07904724039469,1527.59010068588
2022,Mundo,Estados Unidos,87.0,58.61857086059204,328239523.0,12404.25877871238,12404.25877871238,1488.5110534454855,39.07904724039469,1527.59010068588
2023,Mundo,Estados Unidos,183.0,58.61857086059204,328239523.0,12404.25877871238,12404.25877871238,1488.5110534454855,39.07904724039469,1527.59010068588
2019,Europa,Francia,433.0,44.098263876338834,67059887.0,898.2768646065883,898.2768646065883,233.55198479771298,14.699421292112945,248.25140608982593
2020,Europa,Francia,551.0,44.098263876338834,67059887.0,898.2768646065883,898.2768646065883,233.55198479771298,14.699421292112945,248.25140608982593
2021,Europa,Francia,613.0,44.098263876338834,67059887.0,898.2768646065883,898.2768646065883,233.55198479771298,14.699421292112945,248.25140608982593
2022,Europa,Francia,646.0,44.098263876338834,67059887.0,898.2768646065883,898.2768646065883,233.55198479771298,14.699421292112945,248.25140608982593
2023,Europa,Francia,637.0,44.098263876338834,67059887.0,898.2768646065883,898.2768646065883,233.55198479771298,14.699421292112945,248.25140608982593
2019,Europa,Irlanda,35.0,43.28140624811749,4941444.0,1738.554977845224,1738.554977845224,347.7109955690448,28.854270832078328,376.56526640112315
2019,Europa,Países Bajos,219.0,51.75841254924639,17332850.0,2263.515264683713,2263.515264683713,452.70305293674267,34.50560836616425,487.20866130290693
2020,Europa,Países Bajos,206.0,51.75841254924639,17332850.0,2263.515264683713,2263.515264683713,452.70305293674267,34.50560836616425,487.20866130290693
2021,Europa,Países Bajos,139.0,51.75841254924639,17332850.0,2263.515264683713,2263.515264683713,452.70305293674267,34.50560836616425,487.20866130290693
2022,Europa,Países Bajos,219.0,51.75841254924639,17332850.0,2263.515264683713,2263.515264683713,452.70305293674267,34.50560836616425,487.20866130290693
2023,Europa,Países Bajos,293.0,51.75841254924639,17332850.0,2263.515264683713,2263.515264683713,452.70305293674267,34.50560836616425,487.20866130290693
2019,Europa,Portugal,1831.0,26.156311369742532,10269417.0,476.1197191476367,476.1197191476367,95.22394382952734,17.437540913161687,112.66148474268903
2020,Europa,Portugal,553.0,26.156311369742532,10269417.0,476.1197191476367,476.1197191476367,95.22394382952734,17.437540913161687,112.66148474268903
2021,Europa,Portugal,1114.0,26.156311369742532,10269417.0,476.1197191476367,476.1197191476367,95.22394382952734,17.437540913161687,112.66148474268903
2022,Europa,Portugal,2145.0,26.156311369742532,10269417.0,476.1197191476367,476.1197191476367,95.22394382952734,17.437540913161687,112.66148474268903
2023,Europa,Portugal,2455.0,26.156311369742532,10269417.0,476.1197191476367,476.1197191476367,95.22394382952734,17.437540913161687,112.66148474268903
